SpecID	Species	Wings	Green	Brown	Combined	Polymorphic	Pied	SexualDimorphism	AgeDependence	OtherVariants	RemarksMorphs	SourceMorphs
S02100	Ephippigerida (Ephippigerida) marceti	.	NA	NA	NA	NA	NA	NA	NA	.	no images	.
S02110	Ephippigerida (Ephippigerida) pantingana	.	dominant	common	dominant-common	polymorphic	absent	absent	absent	.	.	images of both morphs on google search
S02120	Ephippigerida (Ephippigerida) saussureiana	.	NA	NA	NA	NA	NA	NA	NA	.	.	.
S02130	Ephippigerida (Ephippigerida) diluta	.	dominant	common	dominant-common	polymorphic	absent	absent	absent	.	.	multiple images of both morphs on google search
S02140	Ephippigerida (Ephippigerida) rosae	.	common	dominant	common-dominant	polymorphic	absent	absent	absent	.	.	"images of both morphs on OSF, both morphs on google search"
S02150	Ephippigerida (Lobionifera) laserena	.	regular	dominant	regular-dominant	polymorphic	absent	absent	absent	.	.	"image of brown https://www.biodiversidadvirtual.org/insectarium/Ephippigerida-(Lobionifera)-laserena-Barat-y-Correas-2015-img715485.html, https://www.biodiversidadvirtual.org/insectarium/Ephippigerida-(Lobionifera)-laserena-Barat-y-Correas-2015-img715488.html"
S02160	Lluciapomaresius anapaulae	.	dominant	common	dominant-common	polymorphic	absent	absent	absent	.	.	"multiple images of green on google search, many images of both morphs on flickr"
S02170	Lluciapomaresius asturiensis	.	dominant	common	dominant-common	polymorphic	absent	absent	absent	.	.	multiple images of green on google search
S02180	Lluciapomaresius eclipticus	.	dominant	common	dominant-common	polymorphic	absent	absent	absent	.	.	"images of both morphs in publication Descripción de Steropleurus eclipticus sp. n. (Othoptera: Tettigoniidae: Ephippigerinae) del Sistema Ibérico, Zaragoza (España),  Joan Barat"
S02190	Lluciapomaresius nobrei	.	dominant	regular	dominant-regular	polymorphic	absent	absent	absent	.	.	"images of multiple green on google search, image of brown https://www.inaturalist.org/taxa/747456-Lluciapomaresius-nobrei"
S02200	Lluciapomaresius ortegai	.	absent	mono	absent-mono	brown	absent	absent	absent	.	.	"image of brown in Fauna Catalunya, image of brown on GoE and on google search"
S02210	Lluciapomaresius panteli	.	regular	dominant	regular-dominant	polymorphic	absent	absent	absent	.	.	"image of brown in Fauna Catalunya, multiple images on google search, image of green in publication On the bioacoustics of the Iberian Ephippigerini (Orthoptera, Tettigoniidae, Bradyporinae)"
S02220	Lluciapomaresius stalii	.	dominant	common	dominant-common	polymorphic	absent	absent	absent	.	.	"images of both morphs GoE, also google search"
S02230	Lucasinova nigromarginata	short	common	dominant	common-dominant	polymorphic	absent	absent	absent	.	.	"images of both morphs on GoE, also multiple of both on google search"
S02240	Neocallicrania barrosi	.	dominant	rare	dominant-rare	polymorphic	absent	absent	absent	.	.	"images of multiple green on google search, image of brown https://naturdata.com/especie/neocallicrania-barrosi/41007/0/"
S02250	Neocallicrania bolivarii	.	dominant	regular	dominant-regular	polymorphic	absent	absent	absent	.	.	images of only green on google search
S02260	Neocallicrania lusitanica	.	dominant	regular	dominant-regular	polymorphic	absent	absent	absent	.	.	image of brown on https://www.iucnredlist.org/species/68442317/75340146
S02270	Neocallicrania miegii	.	dominant	rare	dominant-rare	polymorphic	absent	absent	absent	.	.	brown e.g. https://www.flickr.com/photos/jmparaisoh/29209088886/in/photolist-Lv7duN-QeHZi3-oNQm4V-nWMRj6-h8BViu-8nhQ56-cZk3Su-cZaEks-8kdFJL-cWKeMd-aiFHVW-diFjrt-FCxZgK-Up5SVt-eS1QSv-EPar5i-dwBn4Y-9yFrr-cWrZ19-dwdgJg-bLWQdM-cYD5J5-dnXUgQ-cookgw-EWuY9x-owkzge-dm8R9P-dvCtnH-6tFQFm-dnXmFA-FjijuS-by1mPh-d9K6Qo-Vr7S54-fjMXoc-aBqBU3-xGUizR-foAcWe-chgBb7-h8BUJ3-chgDim-ciYxeE-cjoiL5-ckRZmd-db89cC-cjqRPW-csqBqo-ckUPvh-cioQgm-by1UhU
S02280	Neocallicrania selligera	.	dominant	rare	dominant-rare	polymorphic	absent	absent	absent	.	.	"multiple images of green on google search, images of brown https://naturdata.com/especie/neocallicrania-selligera-selligera/16762/0/, https://www.flickr.com/photos/125745492@N02/34391783093/in/photolist-Up5SVt-eS1QSv-EPar5i-dwBn4Y-9yFrr-cWrZ19-dwdgJg-bLWQdM-cYD5J5-dnXUgQ-cookgw-EWuY9x-owkzge-dm8R9P-dvCtnH-6tFQFm-dnXmFA-FjijuS-by1mPh-d9K6Qo-Vr7S54-fjMXoc-aBqBU3-xGUizR-foAcWe-chgBb7-h8BUJ3-chgDim-ciYxeE-cjoiL5-ckRZmd-db89cC-cjqRPW-csqBqo-ckUPvh-cioQgm-by1UhU-by2Bbu-cvqW2W-ciWhRy-c1qxK1-c2qC6Q-chUCtf-cbTwRC-caXacu-cjpufs-caNYzL-cygXFQ-ccekjU-fU53D8"
S02290	Neocallicrania serrata	.	dominant	regular	dominant-regular	polymorphic	absent	absent	absent	.	.	"images of multiple green on google search, images of both morphs on https://naturdata.com/especie/neocallicrania-serrata-serrata/41009/0/"
S02300	Parasteropleurus balearicus	.	mono	absent	mono-absent	green	absent	absent	absent	.	.	images of a few green on google search
S02310	Parasteropleurus martorellii	.	dominant	regular	dominant-regular	polymorphic	absent	absent	absent	.	.	"image of green in Fauna Catalunya, multiple green on google search, brown on http://faluke.blogspot.com/2009/11/dericoris-carthagonovae.html"
S02320	Parasteropleurus perezi	.	dominant	regular	dominant-regular	polymorphic	absent	absent	absent	.	.	"image of green in Fauna Catalunya, images of both morphs on GoE"
S02330	Platystolus martinezii	.	dominant	regular	dominant-regular	polymorphic	absent	absent	absent	.	.	"image of green in Fauna Catalunya, just a few images on google search"
S02340	Platystolus surcularius	.	absent	mono	absent-mono	brown	absent	absent	absent	.	.	one brown on https://www.biodiversidadvirtual.org/insectarium/Platystolus-surcularius-(Bolivar-1877)-img1114514.html
S02350	Praephippigera pachygaster	short	dominant	rare	dominant-rare	polymorphic	absent	absent	absent	.	.	"just few individuals https://www.insecte.org/forum/viewtopic.php?t=48175, image of brown and green in Field Guide Italy"
S02360	Sabaterpia hispanica	.	mono	absent	mono-absent	green	absent	absent	absent	.	.	only few individuals https://www.biodiversidadvirtual.org/insectarium/Sabaterpia-hispanica-(Kollar-1853)-img76350.html
S02370	Sabaterpia paulinoi	.	NA	NA	NA	NA	NA	NA	NA	.	.	.
S02380	Sabaterpia taeniata	.	regular	dominant	regular-dominant	polymorphic	absent	absent	absent	.	.	images of both morphs (though not very clear green) on GoE
S02390	Sorapagus catalaunicus	.	dominant	regular	dominant-regular	polymorphic	absent	absent	absent	.	.	"Field guide France, image of brown in Fauna Catalunya"
S02400	Steropleurus andalusius	.	dominant	regular	dominant-regular	polymorphic	absent	absent	absent	.	.	"many images of green on google search, brown on http://www.granadanatural.com/ficha_fauna.php?cod=64 and https://biocostagranadinafauna.blogspot.com/2012/03/chicharra-o-grillo-verde-steropleurus.html"
S02410	Steropleurus brunneri	.	dominant	common	dominant-common	polymorphic	absent	absent	absent	.	.	.
S02420	Steropleurus castellanus	.	NA	NA	NA	NA	NA	NA	NA	.	.	.
S02430	Steropleurus flavovittatus	.	mono	absent	mono-absent	green	absent	absent	absent	.	.	"multiple images of green on google search, https://www.biodiversidadvirtual.org/insectarium/Steropleurus-flavovittatus-(Bolivar-1878)-img90744.html"
S02440	Steropleurus obsoletus	.	NA	NA	NA	NA	NA	NA	NA	.	.	.
S02450	Steropleurus pseudolus	.	dominant	common	dominant-common	polymorphic	absent	absent	absent	.	.	images of both morphs on https://naturdata.com/especie/steropleurus-pseudolus/40078/0/
S02460	Steropleurus recticarinatus	.	dominant	common	dominant-common	polymorphic	absent	absent	absent	.	.	"just few individuals, https://www.biodiversidadvirtual.org/insectarium/Steropleurus-recticarinatus-(Llorente-1980)-img22205.html"
S02470	Synephippius obvius	.	dominant	common	dominant-common	polymorphic	absent	absent	absent	.	.	"image of brown in Fauna Catalunya, image of green on GoE"
S02480	Uromenus agarenus	.	dominant	regular	dominant-regular	polymorphic	absent	absent	absent	.	.	image of brown on https://www.flickr.com/photos/georgeoide/6726929893/in/photolist-bfrgi8-bfrgTT
S02490	Uromenus annae	short	mono	absent	mono-absent	green	absent	absent	absent	.	.	multiple green on google search
S02500	Uromenus bonneti	short	dominant	regular	dominant-regular	polymorphic	absent	absent	absent	.	.	image of both morphs in Field Guide Italy
S02510	Uromenus brevicollis	short	dominant	regular	dominant-regular	polymorphic	absent	absent	absent	.	.	images of both morphs on GoE
S02520	Uromenus dyrrhachiacus	.	dominant	regular	dominant-regular	polymorphic	absent	absent	absent	.	.	images of both morphs on GoE
S02530	Uromenus elegans	short	dominant	common	dominant-common	polymorphic	absent	absent	absent	.	.	images of both morphs in Bellmann and in GoE and google search
S02540	Uromenus maroccanus	.	mono	absent	mono-absent	green	absent	absent	absent	.	.	just few individuals on google search
S02550	Uromenus riggioi	short	dominant	regular	dominant-regular	polymorphic	absent	absent	absent	.	.	"only few individuals on google search, mentioned as green in Field Guide Italy, but image of pretty brown individual shown in Field Guide Italy"
S02560	Uromenus rugosicollis	short	dominant	regular	dominant-regular	polymorphic	absent	absent	absent	.	.	"brown morphs mentioned in Bellmann, image of both e.g. https://www.flickr.com/photos/christian_1981/9600887922/in/photolist-2aZ1BMK-2aUzrZy-2aUzs27-Mtt14Q-2gEvSwt-Zovj3J-2gCmTHX-2gCmV8F-fCp4uo-254aqAm-PJE2gR-oqBo6g-2gCmeMR-2hj7eM3-B5xPS-98DvwM-fg3WYS-98Dc9e-oG8dta-2gThNe7-h9BXfD-h9DUzy-ac5boP-2gXBGbp-Vi8snc-9YFB3q-adc8BZ-H3vbLp-fgQfyw-HxPnQL-fgxJ8k-ojiTDc-9Yo7cq-5qUoLz-oEnmxH-ojizsy-LpDoW-ac7GM9-fXsyqw-8fzonF-8uTuvG-cW5gyS-8uTv9A-8uQq7p-8P1SeE"
S02570	Uromenus siculus	short	mono	absent	mono-absent	green	absent	absent	absent	.	.	just few green individuals on google search
S02580	Conocephalus grebenchikovi	.	mono	absent	mono-absent	green	absent	absent	absent	.	.	not many images
S02590	Conocephalus (Anisoptera) concolor	.	mono	absent	mono-absent	green	absent	absent	absent	.	.	just few images
S02600	Conocephalus (Anisoptera) dorsalis	polymorph	dominant	regular	dominant-regular	polymorphic	absent	absent	absent	.	.	straw-yellow individuals are not rare according to Bellmann
S02610	Conocephalus (Anisoptera) ebneri	.	mono	absent	mono-absent	green	absent	absent	absent	.	.	.
S02620	Conocephalus (Anisoptera) fuscus	long	dominant	rare	dominant-rare	polymorphic	absent	absent	absent	.	.	straw-yellow individuals are rare according to Bellmann
S02630	Conocephalus (Anisoptera) hastatus	short	mono	absent	mono-absent	green	absent	absent	absent	.	.	multiple green on google search
S02640	Conocephalus (Anisoptera) kisi	.	dominant	rare	dominant-rare	polymorphic	absent	absent	absent	.	.	image of very pale individual in Field Guide Greece
S02650	Conocephalus (Conocephalus) conocephalus	long	dominant	regular	dominant-regular	polymorphic	absent	absent	absent	.	.	light yellow to straw yellow indiviuals are more regular according to Bellmann
S02660	Ruspolia differens	.	dominant	regular	dominant-regular	polymorphic	absent	absent	absent	.	.	.
S02670	Ruspolia nitidula	long	dominant	regular	dominant-regular	polymorphic	absent	absent	absent	.	.	.
S02680	Canariola emarginata 	.	regular	dominant	regular-dominant	polymorphic	absent	absent	absent	.	.	.
S02690	Canariola quinonesi	.	absent	mono	absent-mono	brown	absent	absent	absent	.	.	"single image on OSF, two brown individuals on google search"
S02700	Cyrtaspis scutata	short	dominant	rare	dominant-rare	polymorphic	absent	absent	absent	.	.	"Bellmann mentiones yellowish individuals, Fauna Catalunya mentiones brown individuals, Fauna Italy mentiones brown as rare (but is a bit fuzzy with the term), Field Guide Italy mentiones brown as rare"
S02710	Cyrtaspis tuberculata	.	mono	absent	mono-absent	green	absent	absent	absent	.	.	images of multiple green on google search
S02720	Meconema meridionale	short	dominant	exceptional	dominant-exceptional	polymorphic	absent	absent	absent	.	.	brown individual https://www.flickr.com/photos/12639178@N07/13227285475/in/photolist-m9Ri98-nbxqjS-p5ARD4-egSN2h-WW8Zpm-NEn8Lr-V6z3C5-4SBsfD-743Rwz-L4zBde-fBbWDQ-2fFxaxY-m9R6NT-2hdHAGv-9m1qcr-XZMvWM-9m4mZC-LSZmrA-cXn1A5-ahYnBE-xJdpsT-237mb57-22Kbfie-WmShYF-HE6CUE-GaQKaL-24nw9eo-Vk5h6K-6BCnVa-wYMvZD-2hADW1D-2hAHFLY-6RmZyM-Upbr61-FT5ZLV-cVXEc3-d14WW5-pvdgAy-oXN35f-Lrmwes-6pSUrX-e5zCZG-chAToC-8tmXqo-d58nmU-KKn4az-8JFuTx-sQ9WeJ-dcfiCL-ggCaVy
S02730	Meconema thalassinum	long	mono	absent	mono-absent	green	absent	absent	absent	.	.	.
S02740	Acrometopa cretensis	.	mono	absent	mono-absent	green	absent	absent	absent	.	.	multiple images on google search
S02750	Acrometopa italica	long	mono	absent	mono-absent	green	absent	absent	absent	.	.	multiple images on google search
S02760	Acrometopa macropoda	long	mono	absent	mono-absent	green	absent	absent	absent	.	.	multiple images on google search
S02770	Acrometopa servillea	long	mono	absent	mono-absent	green	absent	absent	absent	.	.	multiple images on google search
S02780	Acrometopa syriaca	.	mono	absent	mono-absent	green	absent	absent	absent	.	.	multiple images on google search
S02790	Ancistrura nigrovittata	short	mono	absent	mono-absent	green	absent	absent	absent	.	.	multiple images on google search
S02800	Andreiniimon nuptialis	short	mono	absent	mono-absent	green	absent	absent	absent	.	.	multiple images on google search
S02810	Barbitistes alpinus	short	dominant	regular	dominant-regular	polymorphic	absent	absent	absent	.	.	"several images on flickr, images and description Field Guide Italy"
S02820	Barbitistes constrictus	short	dominant	rare	dominant-rare	polymorphic	absent	absent	absent	.	.	dark individual in Bellmann
S02830	Barbitistes fischeri	short	dominant	regular	dominant-regular	polymorphic	absent	weak	absent	dark individuals more common in males	.	"Fauna Catalunya mentiones females brown, images and description Field Guide Italy, dark individuals more common in males (Bellmann)"
S02840	Barbitistes kaltenbachi	.	absent	mono	absent-mono	brown	absent	absent	absent	.	.	just on image on google search
S02850	Barbitistes obtusus	short	dominant	regular	dominant-regular	polymorphic	absent	absent	absent	.	.	"Field guide Austria, dark individual in Field guide France and Bellmann, dark individuals (both sexes) in OrthopteraApp"
S02860	Barbitistes ocskayi	short	regular	dominant	regular-dominant	polymorphic	absent	absent	absent	.	.	"image of almost black male in Field Guide Greece, statement in Fauna Italy"
S02870	Barbitistes serricauda	short	regular	dominant	regular-dominant	polymorphic	absent	absent	absent	.	.	"Fauna Catalunya mentiones females brown, dark individual in Field guide France, mostly green in Field Guide Italy"
S02880	Barbitistes vicetinus	short	dominant	regular	dominant-regular	polymorphic	absent	absent	absent	.	.	.
S02890	Barbitistes yersini	short	dominant	regular	dominant-regular	polymorphic	absent	absent	absent	.	.	.
S02900	Euconocercus caucasicus	.	NA	NA	NA	NA	NA	NA	NA	.	.	.
S02910	Isoimon riabovi 	.	mono	absent	mono-absent	green	absent	absent	absent	.	.	just one individual green http://barbos.my1.ru/load/otkrytki_quot_nasekomye_quot/kuznechiki_sverchki_kobylki/pilokhvost_rjabova_isoimon_riabovi_uv/119-1-0-3108
S02920	Isophya amplipennis	.	mono	absent	mono-absent	green	absent	absent	absent	.	.	image of green in OSF
S02930	Isophya andreevae	.	mono	absent	mono-absent	green	absent	absent	absent	.	.	.
S02940	Isophya beibienko	.	mono	absent	mono-absent	green	absent	absent	absent	.	.	https://www.iucnredlist.org/species/62147256/62147267
S02950	Isophya boldyrevi	.	NA	NA	NA	NA	NA	NA	NA	.	.	.
S02960	Isophya brevicauda	short	mono	absent	mono-absent	green	absent	absent	absent	.	.	.
S02970	Isophya brunneri	.	mono	absent	mono-absent	green	absent	absent	absent	.	.	https://www.iucnredlist.org/fr/species/68401310/70217768
S02980	Isophya bucovinensis	.	mono	absent	mono-absent	green	absent	absent	absent	.	.	few images
S02990	Isophya bureschi	.	mono	absent	mono-absent	green	absent	absent	absent	.	.	images of multiple green in OSF
S03000	Isophya camptoxypha	short	mono	absent	mono-absent	green	absent	absent	absent	sometimes very colorful	.	sometimes very colorful according to Bellmann
S03010	Isophya ciucasi	.	mono	absent	mono-absent	green	absent	absent	absent	.	.	.
S03020	Isophya clara	.	mono	absent	mono-absent	green	absent	absent	absent	.	.	just one individual on google search
S03030	Isophya costata	short	mono	absent	mono-absent	green	absent	absent	absent	.	.	.
S03040	Isophya dobrogensis	.	mono	absent	mono-absent	green	absent	absent	absent	.	.	"rather pale indivudal on https://www.google.com/search?client=firefox-b-d&biw=1876&bih=1021&tbm=isch&sa=1&ei=_YLRXaLzM8PUsAeptoygCw&q=Isophya+dobrogensis&oq=Isophya+dobrogensis&gs_l=img.3..0i30.1290557.1290557..1291016...0.0..0.110.110.0j1......0....2j1..gws-wiz-img.cQ-, CuYhexsA&ved=0ahUKEwji5Zeo4vHlAhVDKuwKHSkbA7QQ4dUDCAY&uact=5#imgrc=M2VGmO8Q2RlC9M:, rather dark individual on https://www.iucnredlist.org/species/68398749/70268869"
S03050	Isophya dochia	.	mono	absent	mono-absent	green	absent	absent	absent	.	.	.
S03060	Isophya doneciana	.	NA	NA	NA	NA	NA	NA	NA	.	.	.
S03070	Isophya fatrensis	.	mono	absent	mono-absent	green	absent	absent	absent	.	.	.
S03080	Isophya gulae	.	mono	absent	mono-absent	green	absent	absent	absent	.	.	additional species Isophya gracilis in black: 
S03090	Isophya harzi	.	mono	absent	mono-absent	green	absent	absent	absent	.	.	images of green on OSF
S03100	Isophya hospodar	.	mono	absent	mono-absent	green	absent	absent	absent	.	.	.
S03110	Isophya kalishevskii	.	mono	absent	mono-absent	green	absent	absent	absent	.	.	.
S03120	Isophya kraussii	short	mono	absent	mono-absent	green	absent	absent	absent	.	.	.
S03130	Isophya lemnotica	.	mono	absent	mono-absent	green	absent	absent	absent	.	.	.
S03140	Isophya longicaudata	.	mono	absent	mono-absent	green	absent	absent	absent	.	.	.
S03150	Isophya miksici	.	NA	NA	NA	NA	NA	NA	NA	.	.	.
S03160	Isophya modesta	short	mono	absent	mono-absent	green	absent	absent	absent	.	.	.
S03170	Isophya modestior	short	mono	absent	mono-absent	green	absent	absent	absent	.	.	.
S03180	Isophya obtusa	.	mono	absent	mono-absent	green	absent	absent	absent	.	.	images of green in OSF
S03190	Isophya pavelii	.	mono	absent	mono-absent	green	absent	absent	absent	.	.	multiple images of green in OSF
S03200	Isophya pienensis	short	mono	absent	mono-absent	green	absent	absent	absent	.	.	.
S03210	Isophya plevnensis	.	mono	absent	mono-absent	green	absent	absent	absent	.	.	.
S03220	Isophya posthumoidalis	.	mono	absent	mono-absent	green	absent	absent	absent	.	.	.
S03230	Isophya pylnovi	.	NA	NA	NA	NA	NA	NA	NA	.	.	.
S03240	Isophya pyrenaea	short	mono	absent	mono-absent	green	absent	absent	absent	.	.	brown nymph http://barbos.my1.ru/load/otkrytki_quot_nasekomye_quot/kuznechiki_sverchki_kobylki/pilokhvost_rjabova_isoimon_riabovi_uv/119-1-0-3108
S03250	Isophya rectipennis	.	mono	absent	mono-absent	green	absent	absent	absent	.	.	.
S03260	Isophya rhodopensis	.	mono	absent	mono-absent	green	absent	absent	absent	.	.	.
S03270	Isophya schneideri	.	mono	absent	mono-absent	green	absent	absent	absent	.	.	few images on google search
S03280	Isophya sicula	.	mono	absent	mono-absent	green	absent	absent	absent	.	.	.
S03290	Isophya speciosa	short	dominant	rare	dominant-rare	polymorphic	absent	weak	absent	males are darker	.	"dark, but still green individuals in flickr, very dark: https://www.fotografturk.com/isophya-speciosa-p258559s2, males are darker and more marked (Bellmann)"
S03300	Isophya stepposa	.	NA	NA	NA	NA	NA	NA	NA	.	.	.
S03310	Isophya straubei	.	mono	absent	mono-absent	green	absent	absent	absent	.	.	.
S03320	Isophya stysi	short	mono	absent	mono-absent	green	absent	absent	absent	.	.	images of green in OSF
S03330	Isophya taurica	.	dominant	rare	dominant-rare	polymorphic	NA	absent	absent	.	.	brown individual http://macroclub.ru/macroid/show_image.php?imageid=85710
S03340	Isophya thracica	.	mono	absent	mono-absent	green	absent	absent	absent	.	.	.
S03350	Isophya tosevski	.	mono	absent	mono-absent	green	absent	absent	absent	.	.	.
S03360	Isophya zubowskii	short	mono	absent	mono-absent	green	absent	absent	absent	.	.	"rather dark indivuals on google search, but still green"
S03370	Leptophyes albovittata	short	dominant	exceptional	dominant-exceptional	polymorphic	absent	absent	absent	.	.	"image of brown female in OrthopteraApp, also pretty brown in Bellmann France"
S03380	Leptophyes asamo	.	mono	absent	mono-absent	green	absent	absent	absent	.	.	images on OSF
S03390	Leptophyes boscii	short	mono	absent	mono-absent	green	absent	absent	absent	.	.	many images on google search
S03400	Leptophyes calabra	short	mono	absent	mono-absent	green	absent	absent	absent	.	.	"images on OSF and GoE, multiple images on google search"
S03410	Leptophyes discoidalis	.	mono	absent	mono-absent	green	absent	absent	absent	.	.	"images of multiple green in OSF, multiple green on google search"
S03420	Leptophyes intermedia	.	mono	absent	mono-absent	green	absent	absent	absent	.	.	images on OSF
S03430	Leptophyes laticauda	short	mono	absent	mono-absent	green	absent	absent	absent	.	.	many images on google search
S03440	Leptophyes lisae	.	mono	absent	mono-absent	green	absent	absent	absent	.	.	.
S03450	Leptophyes punctatissima	short	dominant	exceptional	dominant-exceptional	polymorphic	absent	absent	absent	.	.	brown individual on barbos.my1.ru/load/otkrytki_quot_nasekomye_quot/kuznechiki_sverchki_kobylki/pilokhvost_rjabova_isoimon_riabovi_uv/119-1-0-3108
S03460	Leptophyes sicula	short	mono	absent	mono-absent	green	absent	absent	absent	.	.	images on OSF and GoE
S03470	Metaplastes ippolitoi	short	mono	absent	mono-absent	green	absent	absent	absent	.	.	"mostly green according to Fauna Italia, several images on grasshoppersofeurope and google search all green"
S03480	Metaplastes oertzemi	.	dominant	rare	dominant-rare	polymorphic	absent	absent	absent	.	.	brown individual on https://www.grasshoppersofeurope.com/linnaeus_ng/app/views/species/nsr_taxon.php?id=1708
S03490	Metaplastes ornatus	short	dominant	rare	dominant-rare	polymorphic	absent	absent	absent	.	.	"green individuals shown in Bellmann, brown individual on http://www.focusnatura.at/wp-content/uploads/Metaplastes-ornatus-Zagori.jpg, quite dark individuals in Field Guide Greece"
S03500	Metaplastes pulchripennis	short	mono	absent	mono-absent	green	absent	absent	absent	.	.	"mostly green according to Fauna Italia, many images on grasshoppersofeurope and google search all green"
S03510	Poecilimon (Hamatopoecilimon) deplanatus	.	absent	mono	absent-mono	brown	absent	absent	absent	.	.	"only two images in total, image of completely non-green in Field Guide Greece also https://www.iucnredlist.org/species/17181950/17182056"
S03520	Poecilimon (Hamatopoecilimon) hamatus	short	absent	mono	absent-mono	brown	absent	absent	absent	.	.	"quite many images, apparently really never green"
S03530	Poecilimon (Hamatopoecilimon) ikariensis	.	absent	mono	absent-mono	brown	absent	absent	absent	.	.	image of brown on OSF and https://www.iucnredlist.org/species/17182027/47708524
S03540	Poecilimon (Hamatopoecilimon) klausgerhardi	.	absent	mono	absent-mono	brown	absent	absent	absent	.	.	images on OSF
S03550	Poecilimon (Hamatopoecilimon) paros	.	absent	mono	absent-mono	brown	absent	absent	absent	.	abundances unclear	images of both morphs in Field Guide Greece (sexual dimorphism?)
S03560	Poecilimon (Hamatopoecilimon) unispinosus	.	absent	mono	absent-mono	brown	absent	absent	absent	.	.	image of completely non-green (black) individual in Field Guide Greece
S03570	Poecilimon (Poecilimon) aegaeus	.	mono	absent	mono-absent	green	absent	absent	absent	.	only few images	.
S03580	Poecilimon (Poecilimon) affinis	short	dominant	rare	dominant-rare	polymorphic	absent	absent	absent	.	.	"images of many green on google and GoE, image of brown https://bioone.org/ContentImages/Journals/orth/24/1/034.024.0104/graphic/f02_19.jpg"
S03590	Poecilimon (Poecilimon) albolineatus	.	mono	absent	mono-absent	green	absent	absent	absent	.	only few images	images on OSF
S03600	Poecilimon (Poecilimon) amissus	.	mono	absent	mono-absent	green	absent	absent	absent	.	.	.
S03610	Poecilimon (Poecilimon) ampliatus	short	mono	absent	mono-absent	green	absent	absent	absent	.	.	multiple images on google search
S03620	Poecilimon (Poecilimon) artedentatus	.	dominant	rare	dominant-rare	polymorphic	absent	absent	absent	.	.	"images of multiple green in OSF, image of brown http://www.naturagraeca.com/ws/upload/gallery/thumbs/26/gId26_dt20190611_130312_1.jpg"
S03630	Poecilimon (Poecilimon) athos	.	mono	absent	mono-absent	green	absent	absent	absent	.	.	not images on google search and flickr
S03640	Poecilimon (Poecilimon) bidens	.	NA	NA	NA	NA	NA	NA	NA	.	.	.
S03650	Poecilimon (Poecilimon) bifenestratus	.	NA	NA	NA	NA	NA	NA	NA	.	.	.
S03660	Poecilimon (Poecilimon) bosphoricus	.	mono	absent	mono-absent	green	absent	absent	absent	.	.	images of multiple green in OSF
S03670	Poecilimon (Poecilimon) brunneri	short	dominant	rare	dominant-rare	polymorphic	absent	absent	absent	.	.	"rarely pale yellow according to Bellmann, image of quite dark on OSF, many images of green"
S03680	Poecilimon (Poecilimon) chopardi	short	mono	absent	mono-absent	green	absent	absent	absent	.	.	images of multiple green in OSF
S03690	Poecilimon (Poecilimon) cretensis	.	dominant	rare	dominant-rare	polymorphic	absent	absent	absent	.	.	"image of quite dark individual on OSF, image of brown on GoE, image of brown on http://www.naturagraeca.com/ws/upload/gallery/thumbs/26/gId26_dt20181024_231342_0.jpg"
S03700	Poecilimon (Poecilimon) djakonovi	.	NA	NA	NA	NA	NA	NA	NA	.	.	.
S03710	Poecilimon (Poecilimon) ebneri	short	mono	absent	mono-absent	green	absent	absent	absent	.	.	.
S03720	Poecilimon (Poecilimon) ege	.	mono	absent	mono-absent	green	absent	absent	absent	pink	.	pink on GoE
S03730	Poecilimon (Poecilimon) elegans	short	mono	absent	mono-absent	green	absent	absent	absent	.	.	.
S03740	Poecilimon (Poecilimon) erimanthos	.	mono	absent	mono-absent	green	absent	absent	absent	.	.	.
S03750	Poecilimon (Poecilimon) fussii	short	mono	absent	mono-absent	green	absent	absent	absent	.	.	"images of multiple green in OSF, also GoE and google search, interesting image https://www.biolib.cz/en/image/id48513/"
S03760	Poecilimon (Poecilimon) geoktschajcus	.	NA	NA	NA	NA	NA	NA	NA	.	.	.
S03770	Poecilimon (Poecilimon) gerlindae	.	mono	absent	mono-absent	green	absent	absent	absent	.	.	.
S03780	Poecilimon (Poecilimon) gracilioides	.	mono	absent	mono-absent	green	absent	absent	absent	.	.	.
S03790	Poecilimon (Poecilimon) gracilis	short	mono	absent	mono-absent	green	absent	absent	absent	.	.	quite many images
S03800	Poecilimon (Poecilimon) heinrichi	.	mono	absent	mono-absent	green	absent	absent	absent	.	.	images of green on OSF
S03810	Poecilimon (Poecilimon) heroicus	.	mono	absent	mono-absent	green	absent	absent	absent	.	.	"images of multiple green in OSF, a few green on google search"
S03820	Poecilimon (Poecilimon) hoelzeli	.	mono	absent	mono-absent	green	absent	absent	absent	.	.	.
S03830	Poecilimon (Poecilimon) intermedius	short	mono	absent	mono-absent	green	absent	absent	absent	.	.	"images of multiple green in OSF, quite many images"
S03840	Poecilimon (Poecilimon) istanbul 	.	NA	NA	NA	NA	NA	NA	NA	.	.	.
S03850	Poecilimon (Poecilimon) jablanicensis	.	mono	absent	mono-absent	green	absent	absent	absent	.	.	images on OSF
S03860	Poecilimon (Poecilimon) jonicus	short	dominant	rare	dominant-rare	polymorphic	absent	absent	absent	.	.	"image of pretty non-green female in Bellmann, images of both morphs on GoE"
S03870	Poecilimon (Poecilimon) laevissimus	short	dominant	rare	dominant-rare	polymorphic	absent	absent	absent	.	.	images of brown on GoE
S03880	Poecilimon (Poecilimon) macedonicus	.	mono	absent	mono-absent	green	absent	absent	absent	.	.	image of completely brown nymphae on GoE
